line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    3 | POS_X POS_Y : (5,0)
line->pos :    2 | POS_X POS_Y : (4,0)
line->pos :    1 | POS_X POS_Y : (3,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    3 | POS_X POS_Y : (5,0)
line->pos :    2 | POS_X POS_Y : (4,0)
line->pos :    3 | POS_X POS_Y : (5,0)
line->pos :    2 | POS_X POS_Y : (4,0)
line->pos :    1 | POS_X POS_Y : (3,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
